country,cause_of_death,lyl,cause/risk
Afghanistan,Unintentional injuries,0.833485384,Cause
Afghanistan,Unsafe sex,0.065504872,Risk
Afghanistan,"Unsafe water, sanitation, and handwashing",0.289695906,Risk
Albania,Ambient ozone pollution,0.007072289,Risk
Albania,Cardiovascular diseases,7.024590378,Cause
Albania,Child and maternal malnutrition,0.419795182,Risk
Albania,Childhood sexual abuse and bullying,5.18E-04,Cause
Albania,Chronic respiratory diseases,0.273349399,Cause
Albania,Diabetes and kidney diseases,0.240433735,Cause
Albania,Dietary risks,1.767012056,Risk
Albania,Digestive diseases,0.209024098,Cause
Albania,Drug use,0.06860241,Risk
Albania,Enteric infections,0.017554217,Cause
Albania,HIV/AIDS and sexually transmitted infections,0.005,Cause
Albania,High LDL cholesterol,0.853915667,Risk
Albania,High alcohol use,0.27449398,Cause
Albania,High body-mass index,0.703891566,Risk
Albania,High fasting plasma glucose,0.62207229,Risk
Albania,High systolic blood pressure,3.172048197,Risk
Albania,Intimate partner violence,0.004819277,Risk
Albania,Kidney dysfunction,0.563626507,Cause
Albania,Low bone mineral density,0.026361446,Risk
Albania,Low physical activity,0.064204819,Risk
Albania,Maternal and neonatal disorders,0.501614459,Cause
Albania,Mental disorders,0,Cause
Albania,Musculoskeletal disorders,0.011783132,Cause
Albania,Neglected tropical diseases and malaria,0.005036145,Cause
Albania,Neoplasms,1.979927722,Cause
Albania,Neurological disorders,0.385542168,Cause
Albania,Non-optimal temperature,0.39393976,Cause
Albania,Nutritional deficiencies,0.009036145,Cause
Albania,Occupational risks,0.134771086,Risk
Albania,Other environmental risks,0.274192773,Risk
Albania,Other infectious diseases,0.038626506,Cause
Albania,Other non-communicable diseases,0.226301206,Cause
Albania,PM2.5 relative to WHO guideline,0.56,Risk
Albania,Respiratory infections and tuberculosis,2.35556628,Cause
Albania,Self-harm and interpersonal violence,0.17948193,Cause
Albania,Skin and subcutaneous diseases,0.003,Cause
Albania,Substance use disorders,0.032132531,Cause
Albania,Tobacco,1.969457859,Risk
Albania,Transport injuries,0.166771086,Cause
Albania,Unintentional injuries,0.214060243,Cause
Albania,Unsafe sex,0.029915662,Risk
Albania,"Unsafe water, sanitation, and handwashing",0.016554217,Risk
Algeria,Ambient ozone pollution,0.048044966,Risk
Algeria,Cardiovascular diseases,18.6379951,Cause
Algeria,Child and maternal malnutrition,0.540921799,Risk
Algeria,Childhood sexual abuse and bullying,0,Cause
Algeria,Chronic respiratory diseases,0.499511241,Cause
Algeria,Diabetes and kidney diseases,1.020317693,Cause
Algeria,Dietary risks,2.58518866,Risk
Algeria,Digestive diseases,0.362179863,Cause
Algeria,Drug use,0.065899316,Risk
Algeria,Enteric infections,0.035601173,Cause
Algeria,HIV/AIDS and sexually transmitted infections,0.023556207,Cause
Algeria,High LDL cholesterol,1.363942326,Risk
Algeria,High alcohol use,0.048786901,Cause
Algeria,High body-mass index,1.869685239,Risk
Algeria,High fasting plasma glucose,2.135152492,Risk
Algeria,High systolic blood pressure,6.1933216,Risk
Algeria,Intimate partner violence,0.003910068,Risk
Algeria,Kidney dysfunction,1.386233626,Cause
Algeria,Low bone mineral density,0.081848485,Risk
Algeria,Low physical activity,0.257128055,Risk
Algeria,Maternal and neonatal disorders,0.655977517,Cause
Algeria,Mental disorders,0,Cause
Algeria,Musculoskeletal disorders,0.014797654,Cause
Algeria,Neglected tropical diseases and malaria,0.005,Cause
Algeria,Neoplasms,1.080337243,Cause
Algeria,Neurological disorders,0.483342131,Cause
Algeria,Non-optimal temperature,0.732262952,Cause
Algeria,Nutritional deficiencies,0.008466276,Cause
Algeria,Occupational risks,0.184619746,Risk
Algeria,Other environmental risks,0.648286412,Risk
Algeria,Other infectious diseases,0.055,Cause
Algeria,Other non-communicable diseases,0.572668622,Cause
Algeria,PM2.5 relative to WHO guideline,0.03,Risk
Algeria,Respiratory infections and tuberculosis,4.68387488,Cause
Algeria,Self-harm and interpersonal violence,0.11085435,Cause
Algeria,Skin and subcutaneous diseases,0.017932551,Cause
Algeria,Substance use disorders,0.047607038,Cause
Algeria,Tobacco,1.508272729,Risk
Algeria,Transport injuries,0.674109482,Cause
Algeria,Unintentional injuries,0.343714565,Cause
Algeria,Unsafe sex,0.050965787,Risk
Algeria,"Unsafe water, sanitation, and handwashing",0.031533724,Risk
Angola,Ambient ozone pollution,0.01898668,Risk
Angola,Cardiovascular diseases,5.010281725,Cause
Angola,Child and maternal malnutrition,1.551891956,Risk
Angola,Childhood sexual abuse and bullying,0.00201332,Cause
Angola,Chronic respiratory diseases,0.407734091,Cause
Angola,Diabetes and kidney diseases,0.948091264,Cause
Angola,Dietary risks,1.307055752,Risk
Angola,Digestive diseases,0.866343853,Cause
Angola,Drug use,0.055546621,Risk
Angola,Enteric infections,0.652745929,Cause
Angola,HIV/AIDS and sexually transmitted infections,1.639822414,Cause
Angola,High LDL cholesterol,0.43949334,Risk
Angola,High alcohol use,0.729807587,Cause
Angola,High body-mass index,0.733948696,Risk
Angola,High fasting plasma glucose,1.129158359,Risk
Angola,High systolic blood pressure,2.667062177,Risk
Angola,Intimate partner violence,0.134681799,Risk
Angola,Kidney dysfunction,0.801452391,Cause
Angola,Low bone mineral density,0.087440059,Risk
Angola,Low physical activity,0.068813518,Risk
Angola,Maternal and neonatal disorders,1.363095218,Cause
Angola,Mental disorders,0,Cause
Angola,Musculoskeletal disorders,0.012373459,Cause
Angola,Neglected tropical diseases and malaria,1.322412925,Cause
Angola,Neoplasms,1.341148004,Cause
Angola,Neurological disorders,0.322881107,Cause
Angola,Non-optimal temperature,0.107360138,Cause
Angola,Nutritional deficiencies,0.185,Cause
Angola,Occupational risks,0.25427824,Risk
Angola,Other environmental risks,0.295493834,Risk
Angola,Other infectious diseases,0.459573261,Cause
Angola,Other non-communicable diseases,0.424119881,Cause
Angola,PM2.5 relative to WHO guideline,1.79,Risk
Angola,Respiratory infections and tuberculosis,7.232059657,Cause
Angola,Self-harm and interpersonal violence,0.284037983,Cause
Angola,Skin and subcutaneous diseases,0.049400099,Cause
Angola,Substance use disorders,0.034786383,Cause
Angola,Tobacco,0.79443314,Risk
Angola,Transport injuries,0.866261955,Cause
Angola,Unintentional injuries,0.503798715,Cause
Angola,Unsafe sex,1.581864846,Risk
Angola,"Unsafe water, sanitation, and handwashing",0.755265909,Risk
Antigua and Barbuda,Ambient ozone pollution,0,Risk
Antigua and Barbuda,Cardiovascular diseases,4.913177176,Cause
Antigua and Barbuda,Child and maternal malnutrition,0.363744094,Risk
Antigua and Barbuda,Childhood sexual abuse and bullying,0.008586614,Cause
Antigua and Barbuda,Chronic respiratory diseases,0.197330708,Cause
Antigua and Barbuda,Diabetes and kidney diseases,2.060220475,Cause
Antigua and Barbuda,Dietary risks,1.759177169,Risk
Antigua and Barbuda,Digestive diseases,0.437669289,Cause
Antigua and Barbuda,Drug use,0.053996062,Risk
Antigua and Barbuda,Enteric infections,0.027397638,Cause
Antigua and Barbuda,HIV/AIDS and sexually transmitted infections,0.204751966,Cause
Antigua and Barbuda,High LDL cholesterol,0.481555118,Risk
Antigua and Barbuda,High alcohol use,0.50621259,Cause
Antigua and Barbuda,High body-mass index,1.846055126,Risk
Antigua and Barbuda,High fasting plasma glucose,2.336940949,Risk
Antigua and Barbuda,High systolic blood pressure,2.756842523,Risk
Antigua and Barbuda,Intimate partner violence,0.012795276,Risk
Antigua and Barbuda,Kidney dysfunction,1.169515746,Cause
Antigua and Barbuda,Low bone mineral density,0.037141732,Risk
Antigua and Barbuda,Low physical activity,0.18766142,Risk
Antigua and Barbuda,Maternal and neonatal disorders,0.326586614,Cause
Antigua and Barbuda,Mental disorders,0,Cause
Antigua and Barbuda,Musculoskeletal disorders,0.043496064,Cause
Antigua and Barbuda,Neglected tropical diseases and malaria,0.00653937,Cause
Antigua and Barbuda,Neoplasms,2.814059051,Cause
Antigua and Barbuda,Neurological disorders,0.433480316,Cause
Antigua and Barbuda,Non-optimal temperature,0.025031496,Cause
Antigua and Barbuda,Nutritional deficiencies,0.06107874,Cause
Antigua and Barbuda,Occupational risks,0.068106298,Risk
Antigua and Barbuda,Other environmental risks,0.306952756,Risk
Antigua and Barbuda,Other infectious diseases,0.045791338,Cause
Antigua and Barbuda,Other non-communicable diseases,0.514216538,Cause
Antigua and Barbuda,PM2.5 relative to WHO guideline,0,Risk
Antigua and Barbuda,Respiratory infections and tuberculosis,3.020767704,Cause
Antigua and Barbuda,Self-harm and interpersonal violence,0.11810236,Cause
Antigua and Barbuda,Skin and subcutaneous diseases,0.141413386,Cause
Antigua and Barbuda,Substance use disorders,0.150480312,Cause
Antigua and Barbuda,Tobacco,0.568492119,Risk
Antigua and Barbuda,Transport injuries,0.115960628,Cause
Antigua and Barbuda,Unintentional injuries,0.402326767,Cause
Antigua and Barbuda,Unsafe sex,0.242944884,Risk
Antigua and Barbuda,"Unsafe water, sanitation, and handwashing",0.050889764,Risk
Argentina,Ambient ozone pollution,0.017,Risk
Argentina,Cardiovascular diseases,3.431253406,Cause
Argentina,Child and maternal malnutrition,0.330532164,Risk
Argentina,Childhood sexual abuse and bullying,0.001538012,Cause
Argentina,Chronic respiratory diseases,0.542360624,Cause
Argentina,Diabetes and kidney diseases,0.827935672,Cause
Argentina,Dietary risks,1.327600389,Risk
Argentina,Digestive diseases,0.539672516,Cause
Argentina,Drug use,0.072805069,Risk
Argentina,Enteric infections,0.027847953,Cause
Argentina,HIV/AIDS and sexually transmitted infections,0.100222223,Cause
Argentina,High LDL cholesterol,0.47960234,Risk
Argentina,High alcohol use,0.381606242,Cause
Argentina,High body-mass index,1.060787521,Risk
Argentina,High fasting plasma glucose,1.004485378,Risk
Argentina,High systolic blood pressure,1.604306039,Risk
Argentina,Intimate partner violence,0.011695906,Risk
Argentina,Kidney dysfunction,0.672220272,Cause
Argentina,Low bone mineral density,0.043436647,Risk
Argentina,Low physical activity,0.065265107,Risk
Argentina,Maternal and neonatal disorders,0.350892788,Cause
Argentina,Mental disorders,0,Cause
Argentina,Musculoskeletal disorders,0.02605653,Cause
Argentina,Neglected tropical diseases and malaria,0.016050682,Cause
Argentina,Neoplasms,2.903269003,Cause
Argentina,Neurological disorders,0.49515984,Cause
Argentina,Non-optimal temperature,0.352575048,Cause
Argentina,Nutritional deficiencies,0.031385965,Cause
Argentina,Occupational risks,0.281307996,Risk
Argentina,Other environmental risks,0.133740741,Risk
Argentina,Other infectious diseases,0.043025341,Cause
Argentina,Other non-communicable diseases,0.488631578,Cause
Argentina,PM2.5 relative to WHO guideline,0.71,Risk
Argentina,Respiratory infections and tuberculosis,4.387007799,Cause
Argentina,Self-harm and interpersonal violence,0.400803124,Cause
Argentina,Skin and subcutaneous diseases,0.098879142,Cause
Argentina,Substance use disorders,0.021892788,Cause
Argentina,Tobacco,1.148354782,Risk
Argentina,Transport injuries,0.294750491,Cause
Argentina,Unintentional injuries,0.292773881,Cause
Argentina,Unsafe sex,0.211263156,Risk
Argentina,"Unsafe water, sanitation, and handwashing",0.023411306,Risk
Armenia,Ambient ozone pollution,0.035181384,Risk
Armenia,Cardiovascular diseases,10.02183055,Cause
Armenia,Child and maternal malnutrition,0.368906922,Risk
Armenia,Childhood sexual abuse and bullying,5.23E-04,Cause
Armenia,Chronic respiratory diseases,0.27449642,Cause
Armenia,Diabetes and kidney diseases,0.478756562,Cause
Armenia,Dietary risks,2.686813846,Risk
Armenia,Digestive diseases,0.607281625,Cause
Armenia,Drug use,0.038610979,Risk
Armenia,Enteric infections,0.009818616,Cause
Armenia,HIV/AIDS and sexually transmitted infections,0.011181384,Cause
Armenia,High LDL cholesterol,1.130119334,Risk
Armenia,High alcohol use,0.315093081,Cause
Armenia,High body-mass index,1.184116942,Risk
Armenia,High fasting plasma glucose,1.11116945,Risk
Armenia,High systolic blood pressure,3.932436754,Risk
Armenia,Intimate partner violence,0.001909308,Risk
Armenia,Kidney dysfunction,1.076255369,Cause
Armenia,Low bone mineral density,0.035408115,Risk
Armenia,Low physical activity,0.123346061,Risk
Armenia,Maternal and neonatal disorders,0.335133652,Cause
Armenia,Mental disorders,0,Cause
Armenia,Musculoskeletal disorders,0.006818616,Cause
Armenia,Neglected tropical diseases and malaria,0.002522673,Cause
Armenia,Neoplasms,2.7428043,Cause
Armenia,Neurological disorders,0.402873507,Cause
Armenia,Non-optimal temperature,0.442434367,Cause
Armenia,Nutritional deficiencies,0.005522673,Cause
Armenia,Occupational risks,0.198486875,Risk
Armenia,Other environmental risks,0.295016707,Risk
Armenia,Other infectious diseases,0.020613365,Cause
Armenia,Other non-communicable diseases,0.315202864,Cause
Armenia,PM2.5 relative to WHO guideline,1.5,Risk
Armenia,Respiratory infections and tuberculosis,3.088539386,Cause
Armenia,Self-harm and interpersonal violence,0.179897376,Cause
Armenia,Skin and subcutaneous diseases,0.005477327,Cause
Armenia,Substance use disorders,0.024589499,Cause
Armenia,Tobacco,2.643448713,Risk
Armenia,Transport injuries,0.27463962,Cause
Armenia,Unintentional injuries,0.329348451,Cause
Armenia,Unsafe sex,0.065279235,Risk
Armenia,"Unsafe water, sanitation, and handwashing",0.017386635,Risk
Australia,Ambient ozone pollution,0.01,Risk
Australia,Cardiovascular diseases,3.990619346,Cause
Australia,Child and maternal malnutrition,0.104138551,Risk
Australia,Childhood sexual abuse and bullying,0.002513855,Cause
Australia,Chronic respiratory diseases,0.77599757,Cause
Australia,Diabetes and kidney diseases,0.621680117,Cause
Australia,Dietary risks,1.140440934,Risk
Australia,Digestive diseases,0.463083131,Cause
Australia,Drug use,0.259395724,Risk
Australia,Enteric infections,0.01297229,Cause
Australia,HIV/AIDS and sexually transmitted infections,0.007596986,Cause
Australia,High LDL cholesterol,0.627745747,Risk
Australia,High alcohol use,0.509108901,Cause
Australia,High body-mass index,1.022463295,Risk
Australia,High fasting plasma glucose,1.014387944,Risk
Australia,High systolic blood pressure,1.468352454,Risk
Australia,Intimate partner violence,0.004375304,Risk
Australia,Kidney dysfunction,0.667365094,Cause
Australia,Low bone mineral density,0.164528925,Risk
Australia,Low physical activity,0.162294603,Risk
Australia,Maternal and neonatal disorders,0.117166262,Cause
Australia,Mental disorders,4.86E-04,Cause
Australia,Musculoskeletal disorders,0.063737967,Cause
Australia,Neglected tropical diseases and malaria,5.14E-04,Cause
Australia,Neoplasms,4.283847848,Cause
Australia,Neurological disorders,1.218717057,Cause
Australia,Non-optimal temperature,0.266695187,Cause
Australia,Nutritional deficiencies,0.009458435,Cause
Australia,Occupational risks,0.374388434,Risk
Australia,Other environmental risks,0.176707827,Risk
Australia,Other infectious diseases,0.03402771,Cause
Australia,Other non-communicable diseases,0.336528925,Cause
Australia,PM2.5 relative to WHO guideline,0,Risk
Australia,Respiratory infections and tuberculosis,0.469652407,Cause
Australia,Self-harm and interpersonal violence,0.420166752,Cause
Australia,Skin and subcutaneous diseases,0.050292173,Cause
Australia,Substance use disorders,0.203813808,Cause
Australia,Tobacco,0.875766168,Risk
Australia,Transport injuries,0.179869229,Cause
Australia,Unintentional injuries,0.381443364,Cause
Australia,Unsafe sex,0.038196402,Risk
Australia,"Unsafe water, sanitation, and handwashing",0.004486145,Risk
Austria,Ambient ozone pollution,0.04256691,Risk
Austria,Cardiovascular diseases,4.990094902,Cause
Austria,Child and maternal malnutrition,0.096620438,Risk
Austria,Childhood sexual abuse and bullying,0.00556691,Cause
Austria,Chronic respiratory diseases,0.470936739,Cause
Austria,Diabetes and kidney diseases,0.659965939,Cause
Austria,Dietary risks,1.406620438,Risk
Austria,Digestive diseases,0.451953769,Cause
Austria,Drug use,0.110579074,Risk
Austria,Enteric infections,0.015406326,Cause
Austria,HIV/AIDS and sexually transmitted infections,0.009593674,Cause
Austria,High LDL cholesterol,0.742953769,Risk
Austria,High alcohol use,0.593221404,Cause
Austria,High body-mass index,0.935450126,Risk
Austria,High fasting plasma glucose,0.759929441,Risk
Austria,High systolic blood pressure,2.177705601,Risk
Austria,Intimate partner violence,0.004379562,Risk
Austria,Kidney dysfunction,0.817948908,Cause
Austria,Low bone mineral density,0.120812652,Risk
Austria,Low physical activity,0.131554746,Risk
Austria,Maternal and neonatal disorders,0.112080292,Cause
Austria,Mental disorders,9.73E-04,Cause
Austria,Musculoskeletal disorders,0.026192214,Cause
Austria,Neglected tropical diseases and malaria,0.001513382,Cause
Austria,Neoplasms,3.470316296,Cause
Austria,Neurological disorders,0.972345506,Cause
Austria,Non-optimal temperature,0.326656935,Cause
Austria,Nutritional deficiencies,0.003486618,Cause
Austria,Occupational risks,0.221506079,Risk
Austria,Other environmental risks,0.192411193,Risk
Austria,Other infectious diseases,0.021513382,Cause
Austria,Other non-communicable diseases,0.296620438,Cause
Austria,PM2.5 relative to WHO guideline,0.36,Risk
Austria,Respiratory infections and tuberculosis,1.573669094,Cause
Austria,Self-harm and interpersonal violence,0.321715325,Cause
Austria,Skin and subcutaneous diseases,0.012919708,Cause
Austria,Substance use disorders,0.141087589,Cause
Austria,Tobacco,1.296457408,Risk
Austria,Transport injuries,0.124279804,Cause
Austria,Unintentional injuries,0.352199512,Cause
Austria,Unsafe sex,0.042143553,Risk
Austria,"Unsafe water, sanitation, and handwashing",0.003486618,Risk
Azerbaijan,Ambient ozone pollution,0.016648166,Risk
Azerbaijan,Cardiovascular diseases,6.797234245,Cause
Azerbaijan,Child and maternal malnutrition,1.071778931,Risk
Azerbaijan,Childhood sexual abuse and bullying,0.001529633,Cause
Azerbaijan,Chronic respiratory diseases,0.206066792,Cause
Azerbaijan,Diabetes and kidney diseases,0.398573847,Cause
Azerbaijan,Dietary risks,2.09890499,Risk
Azerbaijan,Digestive diseases,0.508441206,Cause
Azerbaijan,Drug use,0.104133585,Risk
Azerbaijan,Enteric infections,0.090762935,Cause
Azerbaijan,HIV/AIDS and sexually transmitted infections,0.016707432,Cause
Azerbaijan,High LDL cholesterol,1.052993417,Risk
Azerbaijan,High alcohol use,0.373912516,Cause
Azerbaijan,High body-mass index,0.986333019,Risk
Azerbaijan,High fasting plasma glucose,0.836088428,Risk
Azerbaijan,High systolic blood pressure,3.06831044,Risk
Azerbaijan,Intimate partner violence,0.002822201,Risk
Azerbaijan,Kidney dysfunction,0.847451551,Cause
Azerbaijan,Low bone mineral density,0.012707432,Risk
Azerbaijan,Low physical activity,0.071281279,Risk
Azerbaijan,Maternal and neonatal disorders,0.815142055,Cause
Azerbaijan,Mental disorders,0,Cause
Azerbaijan,Musculoskeletal disorders,4.70E-04,Cause
Azerbaijan,Neglected tropical diseases and malaria,0.002588899,Cause
Azerbaijan,Neoplasms,1.468949203,Cause
Azerbaijan,Neurological disorders,0.214518344,Cause
Azerbaijan,Non-optimal temperature,0.513822201,Cause
Azerbaijan,Nutritional deficiencies,0.009,Cause
Azerbaijan,Occupational risks,0.103496709,Risk
Azerbaijan,Other environmental risks,0.183774224,Risk
Azerbaijan,Other infectious diseases,0.063292568,Cause
Azerbaijan,Other non-communicable diseases,0.344070556,Cause
Azerbaijan,PM2.5 relative to WHO guideline,0.73,Risk
Azerbaijan,Respiratory infections and tuberculosis,3.703564456,Cause
Azerbaijan,Self-harm and interpersonal violence,0.134622767,Cause
Azerbaijan,Skin and subcutaneous diseases,0.001,Cause
Azerbaijan,Substance use disorders,0.045596426,Cause
Azerbaijan,Tobacco,1.692474152,Risk
Azerbaijan,Transport injuries,0.124733774,Cause
Azerbaijan,Unintentional injuries,0.291056447,Cause
Azerbaijan,Unsafe sex,0.043099717,Risk
Azerbaijan,"Unsafe water, sanitation, and handwashing",0.083351834,Risk
Bahamas,Ambient ozone pollution,0.006013807,Risk
Bahamas,Cardiovascular diseases,5.597426036,Cause
Bahamas,Child and maternal malnutrition,0.330861933,Risk
Bahamas,Childhood sexual abuse and bullying,0.005548323,Cause
Bahamas,Chronic respiratory diseases,0.282893491,Cause
Bahamas,Diabetes and kidney diseases,1.470642998,Cause
Bahamas,Dietary risks,2.019522683,Risk
Bahamas,Digestive diseases,0.592601578,Cause
Bahamas,Drug use,0.090100592,Risk
Bahamas,Enteric infections,0.023013807,Cause
Bahamas,HIV/AIDS and sexually transmitted infections,0.67729783,Cause
Bahamas,High LDL cholesterol,0.57256213,Risk
Bahamas,High alcohol use,0.62951282,Cause
Bahamas,High body-mass index,2.085903353,Risk
Bahamas,High fasting plasma glucose,1.797031558,Risk
Bahamas,High systolic blood pressure,3.11904142,Risk
Bahamas,Intimate partner violence,0.061637081,Risk
Bahamas,Kidney dysfunction,1.010023669,Cause
Bahamas,Low bone mineral density,0.064069034,Risk
Bahamas,Low physical activity,0.156416174,Risk
Bahamas,Maternal and neonatal disorders,0.367885602,Cause
Bahamas,Mental disorders,0,Cause
Bahamas,Musculoskeletal disorders,0.079692308,Cause
Bahamas,Neglected tropical diseases and malaria,0.001506903,Cause
Bahamas,Neoplasms,3.247925049,Cause
Bahamas,Neurological disorders,0.438688363,Cause
Bahamas,Non-optimal temperature,0.079465483,Cause
Bahamas,Nutritional deficiencies,0.035,Cause
Bahamas,Occupational risks,0.077086785,Risk
Bahamas,Other environmental risks,0.249451677,Risk
Bahamas,Other infectious diseases,0.05812426,Cause
Bahamas,Other non-communicable diseases,0.704706114,Cause
Bahamas,PM2.5 relative to WHO guideline,0,Risk
Bahamas,Respiratory infections and tuberculosis,6.857859959,Cause
Bahamas,Self-harm and interpersonal violence,0.859564102,Cause
Bahamas,Skin and subcutaneous diseases,0.152964497,Cause
Bahamas,Substance use disorders,0.096280079,Cause
Bahamas,Tobacco,0.638390532,Risk
Bahamas,Transport injuries,0.382830374,Cause
Bahamas,Unintentional injuries,0.432564102,Cause
Bahamas,Unsafe sex,0.555319527,Risk
Bahamas,"Unsafe water, sanitation, and handwashing",0.036013807,Risk
Bahrain,Ambient ozone pollution,0.071643453,Risk
Bahrain,Cardiovascular diseases,4.298254542,Cause
Bahrain,Child and maternal malnutrition,0.144490436,Risk
Bahrain,Childhood sexual abuse and bullying,0,Cause
Bahrain,Chronic respiratory diseases,0.492064248,Cause
Bahrain,Diabetes and kidney diseases,2.476922019,Cause
Bahrain,Dietary risks,1.38235802,Risk
Bahrain,Digestive diseases,0.466700834,Cause
Bahrain,Drug use,0.034930358,Risk
Bahrain,Enteric infections,0.023528691,Cause
Bahrain,HIV/AIDS and sexually transmitted infections,0.040566945,Cause
Bahrain,High LDL cholesterol,0.824810202,Risk
Bahrain,High alcohol use,0.049688573,Cause
Bahrain,High body-mass index,2.282122605,Risk
Bahrain,High fasting plasma glucose,3.289591466,Risk
Bahrain,High systolic blood pressure,2.24966258,Risk
Bahrain,Intimate partner violence,0.007846984,Risk
Bahrain,Kidney dysfunction,0.995605199,Cause
Bahrain,Low bone mineral density,0.039719961,Risk
Bahrain,Low physical activity,0.326017654,Risk
Bahrain,Maternal and neonatal disorders,0.152299166,Cause
Bahrain,Mental disorders,0,Cause
Bahrain,Musculoskeletal disorders,0.030598332,Cause
Bahrain,Neglected tropical diseases and malaria,4.90E-04,Cause
Bahrain,Neoplasms,1.748389407,Cause
Bahrain,Neurological disorders,0.314617459,Cause
Bahrain,Non-optimal temperature,0.669535557,Cause
Bahrain,Nutritional deficiencies,0.010452182,Cause
Bahrain,Occupational risks,0.163919571,Risk
Bahrain,Other environmental risks,0.210631192,Risk
Bahrain,Other infectious diseases,0.033681707,Cause
Bahrain,Other non-communicable diseases,0.484438449,Cause
Bahrain,PM2.5 relative to WHO guideline,1.57,Risk
Bahrain,Respiratory infections and tuberculosis,2.975361958,Cause
Bahrain,Self-harm and interpersonal violence,0.130829329,Cause
Bahrain,Skin and subcutaneous diseases,0.17333742,Cause
Bahrain,Substance use disorders,0.007605199,Cause
Bahrain,Tobacco,1.20547083,Risk
Bahrain,Transport injuries,0.293696913,Cause
Bahrain,Unintentional injuries,0.154300639,Cause
Bahrain,Unsafe sex,0.033993133,Risk
Bahrain,"Unsafe water, sanitation, and handwashing",0.014019127,Risk
Bangladesh,Ambient ozone pollution,0.205780487,Risk
Bangladesh,Cardiovascular diseases,8.864487809,Cause
Bangladesh,Child and maternal malnutrition,1.361780487,Risk
Bangladesh,Childhood sexual abuse and bullying,0,Cause
Bangladesh,Chronic respiratory diseases,1.341146338,Cause
Bangladesh,Diabetes and kidney diseases,0.880195126,Cause
Bangladesh,Dietary risks,2.093609755,Risk
Bangladesh,Digestive diseases,0.703097559,Cause
Bangladesh,Drug use,0.022780488,Risk
Bangladesh,Enteric infections,0.668829273,Cause
Bangladesh,HIV/AIDS and sexually transmitted infections,0.061,Cause
Bangladesh,High LDL cholesterol,0.700804876,Risk
Bangladesh,High alcohol use,0.130560974,Cause
Bangladesh,High body-mass index,0.432560979,Risk
Bangladesh,High fasting plasma glucose,1.547951224,Risk
Bangladesh,High systolic blood pressure,3.596682936,Risk
Bangladesh,Intimate partner violence,0.003902439,Risk
Bangladesh,Kidney dysfunction,0.774243902,Cause
Bangladesh,Low bone mineral density,0.044243902,Risk
Bangladesh,Low physical activity,0.116536587,Risk
Bangladesh,Maternal and neonatal disorders,1.253756097,Cause
Bangladesh,Mental disorders,0,Cause
Bangladesh,Musculoskeletal disorders,0.032682927,Cause
Bangladesh,Neglected tropical diseases and malaria,0.018,Cause
Bangladesh,Neoplasms,1.299195121,Cause
Bangladesh,Neurological disorders,0.351682929,Cause
Bangladesh,Non-optimal temperature,0.365926829,Cause
Bangladesh,Nutritional deficiencies,0.060634147,Cause
Bangladesh,Occupational risks,0.402512189,Risk
Bangladesh,Other environmental risks,0.643024388,Risk
Bangladesh,Other infectious diseases,0.125097561,Cause
Bangladesh,Other non-communicable diseases,0.343487805,Cause
Bangladesh,PM2.5 relative to WHO guideline,5.47,Risk
Bangladesh,Respiratory infections and tuberculosis,3.288512175,Cause
