Country / Dependency,Evidence of current government-operated/sponsored AQ monitoring,Evidence of ad hoc studies by government,"AQ monitoring existed in the past, but not currently","A: Physical Units: Data are shared in physical units, as opposed to a country- (or organization-) specific Air Quality Index, Air Pollution Index, or AQI-like quantities.",B: Station-Specific Coordinates: Data are provided at the most transparent geographic scale at which they are collected (station-scale) and with location metadata in the form of readily available geographic coordinates.,C: Timely Fine-Scale Temporal Information: Data are provided at daily or sub-daily levels in near real time of in a timely manner with time-of-collection stamps and averaging periods.,D: Programmatic Access:  Data and metadata as defined in the preceding criteria are publicly accessible in a programmatic or machine-readable format.,Continent
Russia,Yes,N/A,N/A,Y,Y,Y,N,Europe
Rwanda,Yes,N/A,N/A,N,Y,Y,N,Africa
Samoa,No,No,No,-,-,-,-,Oceania
San Marino,No,No,No,-,-,-,-,Europe
São Tomé and Príncipe,No,No,No,-,-,-,-,Africa
Saudi Arabia,Yes,N/A,N/A,N,Y,Y,N,Asia
Senegal,Yes,N/A,N/A,N,N,Y,N,Africa
Serbia,Yes,N/A,N/A,Y,Y,Y,Y,Europe
Seychelles,No,No,No,-,-,-,-,Africa
Sierra Leone,No,No,No,-,-,-,-,Africa
Singapore,Yes,N/A,N/A,Y,N,Y,N,Asia
Slovakia,Yes,N/A,N/A,Y,Y,Y,Y,Europe
Slovenia,Yes,N/A,N/A,Y,Y,Y,Y,Europe
Solomon Islands,No,No,No,-,-,-,-,Oceania
Somalia,No,No,No,-,-,-,-,Africa
South Africa,Yes,N/A,N/A,Y,Y,Y,N,Africa
South Korea,Yes,N/A,N/A,Y,Y,Y,Y,Asia
South Sudan,No,No,No,-,-,-,-,Africa
Spain,Yes,N/A,N/A,Y,Y,Y,Y,Europe
Sri Lanka,Yes,N/A,N/A,Y,N,Y,N,Asia
Saint Kitts and Nevis,No,No,No,-,-,-,-,North America
Saint Lucia,No,No,No,-,-,-,-,North America
Saint Vincent and the Grenadines,No,No,No,-,-,-,-,North America
Sudan,No,No,No,-,-,-,-,Africa
Suriname,No,No,No,-,-,-,-,South America
Sweden,Yes,N/A,N/A,Y,Y,Y,Y,Europe
Switzerland,Yes,N/A,N/A,Y,Y,Y,Y,Europe
Syria,No,No,Yes,-,-,-,-,Asia
Taiwan,Yes,N/A,N/A,Y,Y,Y,Y,Asia
Tajikistan,Yes,N/A,N/A,-,-,-,-,Asia
Tanzania,No,Yes,No,-,-,-,-,Africa
Thailand,Yes,N/A,N/A,Y,Y,Y,N,Asia
Timor-Leste,No,No,No,-,-,-,-,Asia
Togo,No,No,No,-,-,-,-,Africa
Tonga,No,No,No,-,-,-,-,Oceania
Trinidad and Tobago,Yes,N/A,N/A,Y,N,Y,N,North America
Tunisia,Yes,N/A,N/A,-,-,-,-,Africa
Turkey,Yes,N/A,N/A,Y,Y,Y,N,Europe
Turkmenistan,No,No,No,-,-,-,-,Asia
Tuvalu,No,No,No,-,-,-,-,Oceania
Uganda,Yes,Yes,Yes,Y,N,Y,N,Africa
Ukraine,Yes,N/A,N/A,Y,Y,Y,N,Europe
United Arab Emirates,Yes,N/A,N/A,Y,Y,Y,N,Asia
United Kingdom,Yes,N/A,N/A,Y,Y,Y,Y,Europe
United States,Yes,N/A,N/A,Y,Y,Y,Y,North America
Uruguay,Yes,N/A,N/A,-,-,-,-,South America
Uzbekistan,Yes,N/A,N/A,Y,Y,Y,N,Asia
Vanuatu,No,No,No,-,-,-,-,Oceania
Venezuela,No,N/A,N/A,-,-,-,-,South America
Vietnam,Yes,N/A,N/A,N,Y,Y,N,Asia
Yemen,No,No,No,-,-,-,-,Asia
Zambia,No,No,No,-,-,-,-,Africa
Zimbabwe,No,N/A,N/A,-,-,-,-,Africa
