country,cause_of_death,lyl
Afghanistan,"Unsafe water, sanitation, and handwashing",0.338208577
Albania,Alcohol use,0.377359955
Albania,Ambient ozone pollution,0.00759384
Albania,PM2.5 relative to WHO guideline,0.8
Albania,Cardiovascular diseases,6.306864259
Albania,Child and maternal malnutrition,0.364228102
Albania,Childhood sexual abuse and bullying,0.001037536
Albania,Chronic respiratory diseases,0.265490854
Albania,Diabetes and kidney diseases,0.218081809
Albania,Dietary risks,2.237640987
Albania,Digestive diseases,0.248402308
Albania,Drug use,0.072945139
Albania,Enteric infections,0.006556304
Albania,HIV/AIDS and sexually transmitted infections,0.007037536
Albania,High LDL cholesterol,1.047090466
Albania,High body-mass index,1.285511065
Albania,High fasting plasma glucose,0.72239172
Albania,High systolic blood pressure,3.026276214
Albania,Household air pollution from solid fuels,0.277713185
Albania,Intimate partner violence,0.003849856
Albania,Kidney dysfunction,0.502033685
Albania,Low bone mineral density,0.025225216
Albania,Low physical activity,0.082624639
Albania,Maternal and neonatal disorders,0.360122231
Albania,Mental disorders,0
Albania,Musculoskeletal disorders,0.013256016
Albania,Neglected tropical diseases and malaria,0.003037536
Albania,Neoplasms,2.358453306
Albania,Neurological disorders,0.415030799
Albania,Non-optimal temperature,0.437282963
Albania,Nutritional deficiencies,0.004962464
Albania,Occupational risks,0.120190566
Albania,Other environmental risks,0.217047159
Albania,Other infectious diseases,0.071668912
Albania,Other non-communicable diseases,0.342764195
Albania,Respiratory infections and tuberculosis,0.306825794
Albania,Self-harm and interpersonal violence,0.204077958
Albania,Skin and subcutaneous diseases,0.002
Albania,Substance use disorders,0.03686333
Albania,Tobacco,2.205465802
Albania,Transport injuries,0.263923962
Albania,Unintentional injuries,0.321279112
Albania,Unsafe sex,0.037129933
Albania,"Unsafe water, sanitation, and handwashing",0.008556304
Algeria,Alcohol use,0.083085044
Algeria,Ambient ozone pollution,0.039601173
Algeria,PM2.5 relative to WHO guideline,0.1
Algeria,Cardiovascular diseases,17.32325707
Algeria,Child and maternal malnutrition,0.740056696
Algeria,Childhood sexual abuse and bullying,5.11E-04
Algeria,Chronic respiratory diseases,0.503140763
Algeria,Diabetes and kidney diseases,0.949918866
Algeria,Dietary risks,2.806065493
Algeria,Digestive diseases,0.429359726
Algeria,Drug use,0.067230694
Algeria,Enteric infections,0.053
Algeria,HIV/AIDS and sexually transmitted infections,0.025067449
Algeria,High LDL cholesterol,2.042368524
Algeria,High body-mass index,2.670016617
Algeria,High fasting plasma glucose,3.200657868
Algeria,High systolic blood pressure,5.741204299
Algeria,Household air pollution from solid fuels,0.004488759
Algeria,Intimate partner violence,0.005376344
Algeria,Kidney dysfunction,1.682985337
Algeria,Low bone mineral density,0.088826002
Algeria,Low physical activity,0.673262952
Algeria,Maternal and neonatal disorders,0.817247312
Algeria,Mental disorders,0
Algeria,Musculoskeletal disorders,0.016308895
Algeria,Neglected tropical diseases and malaria,0.005
Algeria,Neoplasms,1.638208211
Algeria,Neurological disorders,0.495055718
Algeria,Non-optimal temperature,0.677381232
Algeria,Nutritional deficiencies,0.007977517
Algeria,Occupational risks,0.162192571
Algeria,Other environmental risks,0.263893451
Algeria,Other infectious diseases,0.095556207
Algeria,Other non-communicable diseases,0.585668622
Algeria,Respiratory infections and tuberculosis,0.43872434
Algeria,Self-harm and interpersonal violence,0.140388074
Algeria,Skin and subcutaneous diseases,0.007488759
Algeria,Substance use disorders,0.042337243
Algeria,Tobacco,1.969427177
Algeria,Transport injuries,0.806272728
Algeria,Unintentional injuries,0.378029326
Algeria,Unsafe sex,0.062252199
Algeria,"Unsafe water, sanitation, and handwashing",0.045466276
Angola,Alcohol use,1.258645768
Angola,Ambient ozone pollution,0.01697336
Angola,PM2.5 relative to WHO guideline,1.2
Angola,Cardiovascular diseases,3.851822414
Angola,Child and maternal malnutrition,1.825518003
Angola,Childhood sexual abuse and bullying,0.00251998
Angola,Chronic respiratory diseases,0.449281206
Angola,Diabetes and kidney diseases,0.717772075
Angola,Dietary risks,1.049706957
Angola,Digestive diseases,0.932103596
Angola,Drug use,0.05451998
Angola,Enteric infections,1.09134583
Angola,HIV/AIDS and sexually transmitted infections,1.749342394
Angola,High LDL cholesterol,0.451680316
Angola,High body-mass index,0.774281206
Angola,High fasting plasma glucose,1.290184011
Angola,High systolic blood pressure,2.370418856
Angola,Household air pollution from solid fuels,0.829774052
Angola,Intimate partner violence,0.236803163
Angola,Kidney dysfunction,0.415213122
Angola,Low bone mineral density,0.079079921
Angola,Low physical activity,0.095573755
Angola,Maternal and neonatal disorders,1.249587075
Angola,Mental disorders,0
Angola,Musculoskeletal disorders,0.01696004
Angola,Neglected tropical diseases and malaria,0.862892945
Angola,Neoplasms,1.411800692
Angola,Neurological disorders,0.250814012
Angola,Non-optimal temperature,0.110306858
Angola,Nutritional deficiencies,0.229440059
Angola,Occupational risks,0.26482585
Angola,Other environmental risks,0.144106561
Angola,Other infectious diseases,0.55048002
Angola,Other non-communicable diseases,0.428945731
Angola,Respiratory infections and tuberculosis,2.372848536
Angola,Self-harm and interpersonal violence,0.269011343
Angola,Skin and subcutaneous diseases,0.017933399
Angola,Substance use disorders,0.028719783
Angola,Tobacco,0.964366045
Angola,Transport injuries,0.806583121
Angola,Unintentional injuries,0.39986581
Angola,Unsafe sex,1.64418453
Angola,"Unsafe water, sanitation, and handwashing",1.24282585
Antigua and Barbuda,Alcohol use,0.610728336
Antigua and Barbuda,Ambient ozone pollution,0
Antigua and Barbuda,PM2.5 relative to WHO guideline,0
Antigua and Barbuda,Cardiovascular diseases,5.349059078
Antigua and Barbuda,Child and maternal malnutrition,0.424661416
Antigua and Barbuda,Childhood sexual abuse and bullying,0.009094488
Antigua and Barbuda,Chronic respiratory diseases,0.20131496
Antigua and Barbuda,Diabetes and kidney diseases,1.949992131
Antigua and Barbuda,Dietary risks,1.640106302
Antigua and Barbuda,Digestive diseases,0.478196848
Antigua and Barbuda,Drug use,0.033283464
Antigua and Barbuda,Enteric infections,0.041874016
Antigua and Barbuda,HIV/AIDS and sexually transmitted infections,0.199244092
Antigua and Barbuda,High LDL cholesterol,0.712720474
Antigua and Barbuda,High body-mass index,1.877507884
Antigua and Barbuda,High fasting plasma glucose,2.857035444
Antigua and Barbuda,High systolic blood pressure,2.873614179
Antigua and Barbuda,Household air pollution from solid fuels,0.009968504
Antigua and Barbuda,Intimate partner violence,0.01722441
Antigua and Barbuda,Kidney dysfunction,1.116240158
Antigua and Barbuda,Low bone mineral density,0.046110236
Antigua and Barbuda,Low physical activity,0.336535436
Antigua and Barbuda,Maternal and neonatal disorders,0.349645668
Antigua and Barbuda,Mental disorders,0
Antigua and Barbuda,Musculoskeletal disorders,0.042035434
Antigua and Barbuda,Neglected tropical diseases and malaria,0.00853937
Antigua and Barbuda,Neoplasms,3.057338577
Antigua and Barbuda,Neurological disorders,0.540543308
Antigua and Barbuda,Non-optimal temperature,0.027523622
Antigua and Barbuda,Nutritional deficiencies,0.063
Antigua and Barbuda,Occupational risks,0.071425196
Antigua and Barbuda,Other environmental risks,0.11215748
Antigua and Barbuda,Other infectious diseases,0.063267716
Antigua and Barbuda,Other non-communicable diseases,0.530070868
Antigua and Barbuda,Respiratory infections and tuberculosis,0.645401576
Antigua and Barbuda,Self-harm and interpersonal violence,0.218681099
Antigua and Barbuda,Skin and subcutaneous diseases,0.135858268
Antigua and Barbuda,Substance use disorders,0.159082675
Antigua and Barbuda,Tobacco,0.856125977
Antigua and Barbuda,Transport injuries,0.211732281
Antigua and Barbuda,Unintentional injuries,0.542858261
Antigua and Barbuda,Unsafe sex,0.272039372
Antigua and Barbuda,"Unsafe water, sanitation, and handwashing",0.079350394
Argentina,Alcohol use,0.861764142
Argentina,Ambient ozone pollution,0.016025341
Argentina,PM2.5 relative to WHO guideline,0.6
Argentina,Cardiovascular diseases,4.42985574
Argentina,Child and maternal malnutrition,0.392070176
Argentina,Childhood sexual abuse and bullying,0.003050682
Argentina,Chronic respiratory diseases,0.639405458
Argentina,Diabetes and kidney diseases,0.923163742
Argentina,Dietary risks,1.694424952
Argentina,Digestive diseases,0.664584798
Argentina,Drug use,0.128001951
Argentina,Enteric infections,0.033335283
Argentina,HIV/AIDS and sexually transmitted infections,0.104298246
Argentina,High LDL cholesterol,0.794988305
Argentina,High body-mass index,1.37664912
Argentina,High fasting plasma glucose,1.38494347
Argentina,High systolic blood pressure,2.208426898
Argentina,Household air pollution from solid fuels,0.024923977
Argentina,Intimate partner violence,0.013645224
Argentina,Kidney dysfunction,0.800834307
Argentina,Low bone mineral density,0.052974659
Argentina,Low physical activity,0.033157894
Argentina,Maternal and neonatal disorders,0.389664717
Argentina,Mental disorders,0
Argentina,Musculoskeletal disorders,0.030493177
Argentina,Neglected tropical diseases and malaria,0.033152047
Argentina,Neoplasms,3.568485378
Argentina,Neurological disorders,0.517280698
Argentina,Non-optimal temperature,0.543662766
Argentina,Nutritional deficiencies,0.045335283
Argentina,Occupational risks,0.302042889
Argentina,Other environmental risks,0.066456141
Argentina,Other infectious diseases,0.054101365
Argentina,Other non-communicable diseases,0.497707601
Argentina,Respiratory infections and tuberculosis,1.331066274
Argentina,Self-harm and interpersonal violence,0.470608193
Argentina,Skin and subcutaneous diseases,0.075955165
Argentina,Substance use disorders,0.040247564
Argentina,Tobacco,2.223255368
Argentina,Transport injuries,0.390302148
Argentina,Unintentional injuries,0.389736844
Argentina,Unsafe sex,0.233933721
Argentina,"Unsafe water, sanitation, and handwashing",0.045847953
Armenia,Alcohol use,0.444047621
Armenia,Ambient ozone pollution,0.057809524
Armenia,PM2.5 relative to WHO guideline,1.4
Armenia,Cardiovascular diseases,11.80009523
Armenia,Child and maternal malnutrition,0.381380952
Armenia,Childhood sexual abuse and bullying,0.00152381
Armenia,Chronic respiratory diseases,0.537428572
Armenia,Diabetes and kidney diseases,0.760809523
Armenia,Dietary risks,3.479190479
Armenia,Digestive diseases,0.819857144
Armenia,Drug use,0.05852381
Armenia,Enteric infections,0.017047619
Armenia,HIV/AIDS and sexually transmitted infections,0.017285714
Armenia,High LDL cholesterol,1.610904763
Armenia,High body-mass index,2.155666666
Armenia,High fasting plasma glucose,2.607285712
Armenia,High systolic blood pressure,4.24404762
Armenia,Household air pollution from solid fuels,0.034380952
Armenia,Intimate partner violence,0.006190476
Armenia,Kidney dysfunction,0.759904762
Armenia,Low bone mineral density,0.029619048
Armenia,Low physical activity,0.22247619
Armenia,Maternal and neonatal disorders,0.315809524
Armenia,Mental disorders,0
Armenia,Musculoskeletal disorders,0.008333333
Armenia,Neglected tropical diseases and malaria,0.00252381
Armenia,Neoplasms,3.103857146
Armenia,Neurological disorders,0.422999999
Armenia,Non-optimal temperature,0.617571428
Armenia,Nutritional deficiencies,0.00247619
Armenia,Occupational risks,0.225238097
Armenia,Other environmental risks,0.218142858
Armenia,Other infectious diseases,0.024238095
Armenia,Other non-communicable diseases,0.532666667
Armenia,Respiratory infections and tuberculosis,0.436333334
Armenia,Self-harm and interpersonal violence,0.312904764
Armenia,Skin and subcutaneous diseases,0.005
Armenia,Substance use disorders,0.050428572
Armenia,Tobacco,3.189190501
Armenia,Transport injuries,0.19957143
Armenia,Unintentional injuries,0.313666668
Armenia,Unsafe sex,0.095333332
Armenia,"Unsafe water, sanitation, and handwashing",0.023095238
Australia,Alcohol use,0.725568508
Australia,Ambient ozone pollution,0.007514091
Australia,PM2.5 relative to WHO guideline,0
Australia,Cardiovascular diseases,5.047107877
Australia,Child and maternal malnutrition,0.125683187
Australia,Childhood sexual abuse and bullying,0.005028183
Australia,Chronic respiratory diseases,0.794860057
Australia,Diabetes and kidney diseases,0.674485909
Australia,Dietary risks,1.668480076
Australia,Digestive diseases,0.489971817
Australia,Drug use,0.265712341
Australia,Enteric infections,0.016915452
Australia,HIV/AIDS and sexually transmitted infections,0.008598639
Australia,High LDL cholesterol,1.054296404
Australia,High body-mass index,1.409843539
Australia,High fasting plasma glucose,1.301677355
Australia,High systolic blood pressure,2.006548106
Australia,Household air pollution from solid fuels,0.001
Australia,Intimate partner violence,0.006316813
Australia,Kidney dysfunction,0.737985423
Australia,Low bone mineral density,0.149492712
Australia,Low physical activity,0.304048592
Australia,Maternal and neonatal disorders,0.134197279
Australia,Mental disorders,4.86E-04
Australia,Musculoskeletal disorders,0.064668611
Australia,Neglected tropical diseases and malaria,0
Australia,Neoplasms,4.60326141
Australia,Neurological disorders,1.180123424
Australia,Non-optimal temperature,0.372802721
Australia,Nutritional deficiencies,0.010943635
Australia,Occupational risks,0.413735662
Australia,Other environmental risks,0.120338192
Australia,Other infectious diseases,0.034
Australia,Other non-communicable diseases,0.368837707
Australia,Respiratory infections and tuberculosis,0.311443149
Australia,Self-harm and interpersonal violence,0.398439259
Australia,Skin and subcutaneous diseases,0.042718173
Australia,Substance use disorders,0.195317783
Australia,Tobacco,1.512925167
Australia,Transport injuries,0.219247812
Australia,Unintentional injuries,0.376993197
Australia,Unsafe sex,0.043069971
Australia,"Unsafe water, sanitation, and handwashing",0.009457726
Austria,Alcohol use,0.866711786
Austria,Ambient ozone pollution,0.036131451
Austria,PM2.5 relative to WHO guideline,0.6
Austria,Cardiovascular diseases,6.75339337
Austria,Child and maternal malnutrition,0.093184031
Austria,Childhood sexual abuse and bullying,0.008105161
Austria,Chronic respiratory diseases,0.456735152
Austria,Diabetes and kidney diseases,0.743080817
Austria,Dietary risks,1.830129504
Austria,Digestive diseases,0.502234665
Austria,Drug use,0.131104187
Austria,Enteric infections,0.016921129
Austria,HIV/AIDS and sexually transmitted infections,0.010618306
Austria,High LDL cholesterol,1.313709835
Austria,High body-mass index,1.262240505
Austria,High fasting plasma glucose,1.512314509
Austria,High systolic blood pressure,3.131233687
Austria,Household air pollution from solid fuels,0.001
Austria,Intimate partner violence,0.005355404
Austria,Kidney dysfunction,0.844740018
Austria,Low bone mineral density,0.113894839
Austria,Low physical activity,0.27100292
Austria,Maternal and neonatal disorders,0.107157741
Austria,Mental disorders,0.00194742
Austria,Musculoskeletal disorders,0.029631938
Austria,Neglected tropical diseases and malaria,5.13E-04
Austria,Neoplasms,3.768596887
Austria,Neurological disorders,0.847361244
Austria,Non-optimal temperature,0.407382668
Austria,Nutritional deficiencies,0.002
Austria,Occupational risks,0.239048687
Austria,Other environmental risks,0.117605647
Austria,Other infectious diseases,0.025
Austria,Other non-communicable diseases,0.346513145
Austria,Respiratory infections and tuberculosis,0.16205258
Austria,Self-harm and interpersonal violence,0.367653361
Austria,Skin and subcutaneous diseases,0.009921129
Austria,Substance use disorders,0.147050634
Austria,Tobacco,2.0695891
Austria,Transport injuries,0.166155794
Austria,Unintentional injuries,0.358327167
Austria,Unsafe sex,0.049000973
Austria,"Unsafe water, sanitation, and handwashing",0.003
Azerbaijan,Alcohol use,0.66299061
Azerbaijan,Ambient ozone pollution,0.019183099
Azerbaijan,PM2.5 relative to WHO guideline,0.7
Azerbaijan,Cardiovascular diseases,14.28595775
Azerbaijan,Child and maternal malnutrition,1.250652582
Azerbaijan,Childhood sexual abuse and bullying,0.001530516
Azerbaijan,Chronic respiratory diseases,0.281197183
Azerbaijan,Diabetes and kidney diseases,0.552356808
Azerbaijan,Dietary risks,3.439676056
Azerbaijan,Digestive diseases,0.623328638
Azerbaijan,Drug use,0.058380282
Azerbaijan,Enteric infections,0.049389671
Azerbaijan,HIV/AIDS and sexually transmitted infections,0.017652582
Azerbaijan,High LDL cholesterol,1.799577464
Azerbaijan,High body-mass index,2.288657277
Azerbaijan,High fasting plasma glucose,2.302187794
Azerbaijan,High systolic blood pressure,4.386629108
Azerbaijan,Household air pollution from solid fuels,0.103981221
Azerbaijan,Intimate partner violence,0.003755869
Azerbaijan,Kidney dysfunction,0.846549296
Azerbaijan,Low bone mineral density,0.018366197
Azerbaijan,Low physical activity,0.157286385
Azerbaijan,Maternal and neonatal disorders,0.905065727
Azerbaijan,Mental disorders,0
Azerbaijan,Musculoskeletal disorders,0.002938967
Azerbaijan,Neglected tropical diseases and malaria,0.003061033
Azerbaijan,Neoplasms,1.994507042
Azerbaijan,Neurological disorders,0.213065728
Azerbaijan,Non-optimal temperature,0.695352113
Azerbaijan,Nutritional deficiencies,0.007469484
Azerbaijan,Occupational risks,0.109619718
Azerbaijan,Other environmental risks,0.144502347
Azerbaijan,Other infectious diseases,0.12414554
Azerbaijan,Other non-communicable diseases,0.380713615
Azerbaijan,Respiratory infections and tuberculosis,0.98285446
Azerbaijan,Self-harm and interpersonal violence,0.161267605
Azerbaijan,Skin and subcutaneous diseases,0.002
Azerbaijan,Substance use disorders,0.050464789
Azerbaijan,Tobacco,2.702859151
Azerbaijan,Transport injuries,0.176103286
Azerbaijan,Unintentional injuries,0.365892018
Azerbaijan,Unsafe sex,0.057460094
Azerbaijan,"Unsafe water, sanitation, and handwashing",0.065920188
Bahamas,Alcohol use,0.764672583
Bahamas,Ambient ozone pollution,0.00552071
Bahamas,PM2.5 relative to WHO guideline,0
Bahamas,Cardiovascular diseases,6.171747535
Bahamas,Child and maternal malnutrition,0.395096647
Bahamas,Childhood sexual abuse and bullying,0.00604142
Bahamas,Chronic respiratory diseases,0.257059172
Bahamas,Diabetes and kidney diseases,1.380777121
Bahamas,Dietary risks,1.695118343
Bahamas,Digestive diseases,0.615163708
Bahamas,Drug use,0.049796844
Bahamas,Enteric infections,0.031013807
Bahamas,HIV/AIDS and sexually transmitted infections,0.686128205
Bahamas,High LDL cholesterol,0.837745562
Bahamas,High body-mass index,2.357796845
Bahamas,High fasting plasma glucose,2.261865878
Bahamas,High systolic blood pressure,3.489891519
Bahamas,Household air pollution from solid fuels,0.010972387
Bahamas,Intimate partner violence,0.07642998
Bahamas,Kidney dysfunction,0.942299803
Bahamas,Low bone mineral density,0.082151874
Bahamas,Low physical activity,0.3014714
Bahamas,Maternal and neonatal disorders,0.397161736
Bahamas,Mental disorders,0
Bahamas,Musculoskeletal disorders,0.073733728
Bahamas,Neglected tropical diseases and malaria,0.003
Bahamas,Neoplasms,3.298250493
Bahamas,Neurological disorders,0.518919132
Bahamas,Non-optimal temperature,0.060055227
Bahamas,Nutritional deficiencies,0.034986193
Bahamas,Occupational risks,0.080524655
Bahamas,Other environmental risks,0.08760355
Bahamas,Other infectious diseases,0.059617357
Bahamas,Other non-communicable diseases,0.660830375
Bahamas,Respiratory infections and tuberculosis,0.592686391
Bahamas,Self-harm and interpersonal violence,0.825325443
Bahamas,Skin and subcutaneous diseases,0.146088757
Bahamas,Substance use disorders,0.101800789
Bahamas,Tobacco,0.904329388
Bahamas,Transport injuries,0.597828402
Bahamas,Unintentional injuries,0.862447731
Bahamas,Unsafe sex,0.654771203
Bahamas,"Unsafe water, sanitation, and handwashing",0.056013807
Bahrain,Alcohol use,0.086980391
Bahrain,Ambient ozone pollution,0.045078431
Bahrain,PM2.5 relative to WHO guideline,1.3
Bahrain,Cardiovascular diseases,3.159254905
Bahrain,Child and maternal malnutrition,0.174098039
Bahrain,Childhood sexual abuse and bullying,5.10E-04
Bahrain,Chronic respiratory diseases,0.37654902
Bahrain,Diabetes and kidney diseases,2.12929412
Bahrain,Dietary risks,1.24790196
Bahrain,Digestive diseases,0.409647059
Bahrain,Drug use,0.033941176
Bahrain,Enteric infections,0.038019608
Bahrain,HIV/AIDS and sexually transmitted infections,0.017058823
Bahrain,High LDL cholesterol,0.900509803
Bahrain,High body-mass index,2.381313731
Bahrain,High fasting plasma glucose,3.227196081
Bahrain,High systolic blood pressure,1.825431375
Bahrain,Household air pollution from solid fuels,0.003490196
Bahrain,Intimate partner violence,0.006862745
Bahrain,Kidney dysfunction,0.863745099
Bahrain,Low bone mineral density,0.030215686
Bahrain,Low physical activity,0.495588236
Bahrain,Maternal and neonatal disorders,0.201392157
Bahrain,Mental disorders,0
Bahrain,Musculoskeletal disorders,0.031588236
Bahrain,Neglected tropical diseases and malaria,0
Bahrain,Neoplasms,1.676745098
Bahrain,Neurological disorders,0.297156863
Bahrain,Non-optimal temperature,0.400803922
Bahrain,Nutritional deficiencies,0.010470588
Bahrain,Occupational risks,0.146411762
Bahrain,Other environmental risks,0.074235294
Bahrain,Other infectious diseases,0.031058823
Bahrain,Other non-communicable diseases,0.512843138
Bahrain,Respiratory infections and tuberculosis,0.219117647
Bahrain,Self-harm and interpersonal violence,0.160999999
Bahrain,Skin and subcutaneous diseases,0.080588235
Bahrain,Substance use disorders,0.011666667
Bahrain,Tobacco,1.321470578
Bahrain,Transport injuries,0.334568624
Bahrain,Unintentional injuries,0.179941175
Bahrain,Unsafe sex,0.029490197
Bahrain,"Unsafe water, sanitation, and handwashing",0.025509804
Bangladesh,Alcohol use,0.154536583
Bangladesh,Ambient ozone pollution,0.141634146
Bangladesh,PM2.5 relative to WHO guideline,6.8
Bangladesh,Cardiovascular diseases,7.033463414
Bangladesh,Child and maternal malnutrition,1.425829268
Bangladesh,Childhood sexual abuse and bullying,5.12E-04
Bangladesh,Chronic respiratory diseases,1.09734146
Bangladesh,Diabetes and kidney diseases,0.746317075
Bangladesh,Dietary risks,2.318097558
Bangladesh,Digestive diseases,0.670975608
Bangladesh,Drug use,0.021902439
Bangladesh,Enteric infections,0.739292687
Bangladesh,HIV/AIDS and sexually transmitted infections,0.06204878
Bangladesh,High LDL cholesterol,0.772853656
Bangladesh,High body-mass index,0.7
Bangladesh,High fasting plasma glucose,1.697878052
Bangladesh,High systolic blood pressure,3.243048786
Bangladesh,Household air pollution from solid fuels,1.630170733
Bangladesh,Intimate partner violence,0.003902439
Bangladesh,Kidney dysfunction,0.547292682
Bangladesh,Low bone mineral density,0.032292683
Bangladesh,Low physical activity,0.166365853
Bangladesh,Maternal and neonatal disorders,1.23902439
Bangladesh,Mental disorders,0
Bangladesh,Musculoskeletal disorders,0.031243903
Bangladesh,Neglected tropical diseases and malaria,0.014512195
Bangladesh,Neoplasms,1.717878047
Bangladesh,Neurological disorders,0.350707318
Bangladesh,Non-optimal temperature,0.283512195
Bangladesh,Nutritional deficiencies,0.08590244
Bangladesh,Occupational risks,0.293121946
Bangladesh,Other environmental risks,0.463341461
Bangladesh,Other infectious diseases,0.212121952
Bangladesh,Other non-communicable diseases,0.39597561
Bangladesh,Respiratory infections and tuberculosis,1.212121951
Bangladesh,Self-harm and interpersonal violence,0.200682924
Bangladesh,Skin and subcutaneous diseases,0.017707317
Bangladesh,Substance use disorders,0.010634146
Bangladesh,Tobacco,2.092414606
Bangladesh,Transport injuries,0.181024387
Bangladesh,Unintentional injuries,0.383317071
Bangladesh,Unsafe sex,0.072390245
Bangladesh,"Unsafe water, sanitation, and handwashing",0.664317078
Barbados,Alcohol use,0.642297289
Barbados,Ambient ozone pollution,0
Barbados,PM2.5 relative to WHO guideline,0
Barbados,Cardiovascular diseases,4.321108116
Barbados,Child and maternal malnutrition,0.518904177
Barbados,Childhood sexual abuse and bullying,0.002542998
Barbados,Chronic respiratory diseases,0.234739557
Barbados,Diabetes and kidney diseases,1.784061429
Barbados,Dietary risks,1.427061425
Barbados,Digestive diseases,0.481857492
Barbados,Drug use,0.026240786
Barbados,Enteric infections,0.027474201
Barbados,HIV/AIDS and sexually transmitted infections,0.201825552
Barbados,High LDL cholesterol,0.668457002
Barbados,High body-mass index,1.907901725
Barbados,High fasting plasma glucose,2.648845216
Barbados,High systolic blood pressure,2.292651107
Barbados,Household air pollution from solid fuels,0.001
Barbados,Intimate partner violence,0.036363637
Barbados,Kidney dysfunction,0.815061425
Barbados,Low bone mineral density,0.047034398
Barbados,Low physical activity,0.396719903
Barbados,Maternal and neonatal disorders,0.545405405
Barbados,Mental disorders,0
Barbados,Musculoskeletal disorders,0.077476659
Barbados,Neglected tropical diseases and malaria,0.0155086
Barbados,Neoplasms,3.870447171
Barbados,Neurological disorders,0.546700246
Barbados,Non-optimal temperature,0.063051597
Barbados,Nutritional deficiencies,0.034525799
Barbados,Occupational risks,0.077550368
Barbados,Other environmental risks,0.078206388
Barbados,Other infectious diseases,0.088904177
Barbados,Other non-communicable diseases,0.69751597
Barbados,Respiratory infections and tuberculosis,0.654638821
Barbados,Self-harm and interpersonal violence,0.421437342
Barbados,Skin and subcutaneous diseases,0.317442261
Barbados,Substance use disorders,0.049127764
Barbados,Tobacco,0.753697782
Barbados,Transport injuries,0.255356263
Barbados,Unintentional injuries,0.320280097
Barbados,Unsafe sex,0.304530714
Barbados,"Unsafe water, sanitation, and handwashing",0.063457002
Belarus,Alcohol use,1.52614576
Belarus,Ambient ozone pollution,0.007056365
Belarus,PM2.5 relative to WHO guideline,0.8
Belarus,Cardiovascular diseases,18.90046753
Belarus,Child and maternal malnutrition,0.102739553
Belarus,Childhood sexual abuse and bullying,0.03231001
Belarus,Chronic respiratory diseases,0.221380952
Belarus,Diabetes and kidney diseases,0.095661808
Belarus,Dietary risks,4.437390675
Belarus,Digestive diseases,0.562486879
Belarus,Drug use,0.143669582
Belarus,Enteric infections,0.002485909
Belarus,HIV/AIDS and sexually transmitted infections,0.072077745
Belarus,High LDL cholesterol,2.709728867
Belarus,High body-mass index,2.139173958
Belarus,High fasting plasma glucose,1.072040818
Belarus,High systolic blood pressure,5.76513995
Belarus,Household air pollution from solid fuels,0.009457726
Belarus,Intimate partner violence,0.011661808
Belarus,Kidney dysfunction,0.727781341
Belarus,Low bone mineral density,0.044655005
Belarus,Low physical activity,0.26009038
Belarus,Maternal and neonatal disorders,0.117655005
Belarus,Mental disorders,0
Belarus,Musculoskeletal disorders,0.003943635
Belarus,Neglected tropical diseases and malaria,0.002485909
Belarus,Neoplasms,2.443918364
Belarus,Neurological disorders,0.385666669
Belarus,Non-optimal temperature,0.452674443
Belarus,Nutritional deficiencies,0.008485909
Belarus,Occupational risks,0.116345966
Belarus,Other environmental risks,0.093387755
Belarus,Other infectious diseases,0.058140913
Belarus,Other non-communicable diseases,0.25
Belarus,Respiratory infections and tuberculosis,0.204141884
